Identifier,Age,Height,Level of studies,Voice type,accent,Hair color,glasses,Body type,Tattoos,Gender,PK,food,JobInvolvement,WorkLifeBalance,jailexp
510,40,151.48,7,Missing,Northern Irish,brown,**??,mesomorph,Yes,M,Yes,Burger,VeryHigh,6387,193
511,------->?,**??,3,deep,Northern Irish,white/gray,Yes,mesomorph,------->?,M,No,Pizza,8165,8165,153
512,51,140.54,4,deep,Midwestern American,blond,No,mesomorph,Yes,F,Yes,Pizza,VeryHigh,5332,?
513,Missing,147.93,Missing,deep,Southern American,blond,Yes,mesomorph,No,NB,Yes,Pizza,High,great,953
514,28,164.57,6,deep,Midwestern American,blond,Yes,Missing,No,------->?,?,Pizza,High,great,1205
515,50,147.82,6,mid range,------->?,black,Yes,Missing,Yes,F,?,Hot Dogs,Low,Bad,Missing
516,23,201.51,?,mid range,East Coast City Dialects,white/gray,No,endomorph,No,NB,No,Apple Pie,VeryHigh,6486,?
517,18,206.38,4,deep,Yorkshire,brown,Yes,mesomorph,Yes,**??,No,Hot Dogs,VeryHigh,3966,------->?
518,53,Missing,8,high pitched,Northern Irish,red,No,endomorph,Yes,M,Yes,Burger,VeryHigh,6903,------->?
?,18,176.89,1,deep,Missing,white/gray,No,mesomorph,No,------->?,No,Pizza,VeryHigh,4118,------->?
520,25,141.04,4,deep,East Coast City Dialects,blond,Yes,mesomorph,Yes,M,Yes,Burger,7761,7761,**??
521,20,Missing,4,high pitched,Northern Irish,?,No,mesomorph,No,M,No,Burger,VeryHigh,5475,------->?
522,32,143.18,------->?,deep,------->?,blond,Yes,ectomorph,No,NB,Yes,?,Low,Bad,615
523,635,150.25,8,deep,Northern Irish,brown,No,ectomorph,No,M,Yes,Missing,VeryHigh,4447,?
524,19,199.35,2,high pitched,Northern Irish,black,No,ectomorph,Yes,M,No,Hot Dogs,Low,Bad,------->?
525,31,142.2,6,deep,Italian,brown,Yes,?,No,NB,Yes,Burger,VeryHigh,5574,Missing
------->?,34,143.6,6,mid range,------->?,black,Yes,endomorph,No,M,Yes,Burger,8056,8056,?
527,23,188.54,2,?,Southern American,white/gray,No,mesomorph,Yes,Missing,No,Burger,7822,7822,Missing
528,22,205.29,3,high pitched,Midwestern American,white/gray,**??,mesomorph,No,Male,No,Apple Pie,VeryHigh,7217,------->?
529,24,206.29,0,?,Southern American,black,No,mesomorph,Missing,M,No,Hot Dogs,VeryHigh,3829,239
530,22,184.13,4,deep,Cockney,white/gray,Yes,ectomorph,Yes,F,No,Hot Dogs,Medium,Good,111
531,26,151.93,8,deep,Southern American,brown,Yes,mesomorph,Yes,F,------->?,?,High,great,1275
532,24,196.05,3,high pitched,Canadian,white/gray,Yes,ectomorph,No,F,------->?,Burger,VeryHigh,6133,411
Missing,23,192.95,4,deep,Cockney,white/gray,No,mesomorph,No,NB,No,Pizza,VeryHigh,6412,------->?
534,34,158.88,6,deep,Midwestern American,brown,No,**??,No,F,Yes,Missing,VeryHigh,4121,1441
535,45,161.78,4,deep,East Coast City Dialects,white/gray,Yes,ectomorph,No,F,Yes,Burger,VeryHigh,3646,Missing
536,18,176.25,1,high pitched,Scottish,dyed,No,endomorph,No,F,No,Burger,Medium,Good,------->?
537,32,169.92,6,deep,Italian,blond,No,Missing,No,**??,Yes,Burger,VeryHigh,4425,833
538,25,154.89,7,------->?,East Coast City Dialects,blond,Yes,mesomorph,Yes,F,Yes,Burger,VeryHigh,4744,?
539,Missing,208.04,3,deep,Midwestern American,black,No,ectomorph,Yes,------->?,No,Pizza,VeryHigh,7186,Missing
540,46,143.26,6,**??,Yorkshire,blond,No,mesomorph,No,NB,Yes,Pizza,9866,9866,**??
541,Missing,155.58,6,mid range,Canadian,?,Yes,mesomorph,No,F,Yes,Hot Dogs,VeryHigh,5385,Missing
542,44,166.7,7,deep,Northern Irish,blond,Yes,ectomorph,No,F,Yes,Pizza,High,great,511
543,29,145.35,8,deep,East Coast City Dialects,black,Yes,ectomorph,Yes,M,Yes,Apple Pie,VeryHigh,6801,------->?
544,32,164.83,7,Missing,**??,brown,No,mesomorph,No,M,Yes,Burger,Low,Bad,?
545,39,?,6,high pitched,Midwestern American,black,Yes,ectomorph,Yes,M,Yes,Pizza,Low,Bad,Missing
546,18,197.52,0,high pitched,Northern Irish,black,No,ectomorph,No,M,No,?,VeryHigh,7359,173
547,31,149.21,6,**??,Boston,brown,No,mesomorph,Yes,F,Yes,Burger,VeryHigh,6106,189
548,47,154.26,6,mid range,**??,black,No,mesomorph,No,NB,Yes,Hot Dogs,8076,8076,1095
549,54,156.79,5,deep,East Coast City Dialects,blond,Yes,ectomorph,No,NB,Yes,Burger,VeryHigh,7087,1123
550,42,141.42,**??,high pitched,East Coast City Dialects,brown,**??,mesomorph,Yes,NB,Yes,Hot Dogs,7635,7635,------->?
551,23,179.92,3,mid range,Southern American,blond,Missing,mesomorph,------->?,M,No,------->?,VeryHigh,4988,Missing
552,49,145.38,6,**??,------->?,blond,Yes,Missing,Yes,NB,Yes,Pizza,Medium,Good,1051
553,34,151.74,4,high pitched,Midwestern American,blond,Yes,Missing,Yes,F,Yes,Burger,9171,9171,?
554,22,172.03,1,deep,Boston,white/gray,Yes,mesomorph,Missing,**??,No,**??,7621,7621,?
555,28,147.21,7,deep,Northern Irish,blond,Yes,------->?,Yes,M,------->?,Hot Dogs,9285,9285,**??
556,22,187.5,1,deep,Southern American,black,No,endomorph,Missing,M,No,Hot Dogs,VeryHigh,5365,765
557,45,160.92,6,deep,East Coast City Dialects,blond,No,mesomorph,Yes,M,Yes,Apple Pie,High,great,343
558,23,188.13,4,mid range,Midwestern American,black,No,mesomorph,No,M,No,Hot Dogs,8540,8540,59
559,43,166.48,4,deep,Boston,brown,Yes,ectomorph,No,NB,Yes,**??,VeryHigh,4259,735
560,30,140.54,7,deep,Southern American,blond,Yes,ectomorph,?,F,Yes,Apple Pie,Low,Bad,**??
561,33,156.62,5,deep,East Coast City Dialects,black,Yes,mesomorph,No,M,Yes,Burger,VeryHigh,6034,**??
Missing,18,192.38,3,**??,Southern American,white/gray,No,mesomorph,Yes,NB,No,Burger,9531,9531,Missing
563,24,181.73,4,high pitched,Italian,white/gray,No,mesomorph,?,M,No,Missing,VeryHigh,6807,?
564,47,166.33,6,deep,East Coast City Dialects,blond,No,mesomorph,Yes,M,Yes,Pizza,8004,8004,349
565,------->?,189.35,Missing,mid range,Midwestern American,------->?,Yes,ectomorph,Yes,M,Missing,Burger,VeryHigh,3785,1101
566,21,205.67,0,------->?,Cockney,dyed,No,mesomorph,?,NB,Missing,Hot Dogs,Medium,Good,?
567,21,177.84,1,high pitched,Yorkshire,white/gray,No,mesomorph,No,------->?,No,Hot Dogs,High,great,979
568,18,201.2,1,high pitched,Midwestern American,black,No,mesomorph,Yes,F,No,Hot Dogs,VeryHigh,4450,489
569,43,Missing,5,**??,Southern American,blond,No,endomorph,Missing,NB,Yes,Pizza,7616,7616,**??
------->?,21,200.71,0,mid range,Southern American,brown,**??,Missing,No,M,No,Burger,9181,9181,**??
571,34,143.71,------->?,deep,Northern Irish,blond,Yes,mesomorph,No,M,Yes,?,High,great,Missing
572,42,163.53,6,deep,Welsh,blond,No,endomorph,No,F,Yes,Pizza,8612,8612,859
Missing,19,Missing,3,high pitched,East Coast City Dialects,brown,Yes,endomorph,No,F,No,Hot Dogs,High,great,975
574,23,177.24,4,high pitched,Northern Irish,black,No,endomorph,Yes,M,No,?,High,great,837
575,32,141.34,4,deep,Southern American,brown,Yes,endomorph,No,NB,Yes,**??,VeryHigh,5024,**??
576,49,147.03,7,deep,Southern American,black,Yes,endomorph,No,NB,Yes,Burger,VeryHigh,5530,Missing
577,55,154.99,6,deep,Southern American,blond,Yes,mesomorph,Missing,M,Yes,Pizza,VeryHigh,6969,1359
578,21,170.24,2,high pitched,Boston,white/gray,No,mesomorph,Yes,F,No,Burger,VeryHigh,7408,------->?
**??,23,171.57,4,mid range,Northern Irish,white/gray,No,------->?,Yes,?,No,Burger,9875,9875,------->?
580,20,205.05,Missing,mid range,Canadian,black,No,**??,**??,NB,No,Missing,VeryHigh,5051,?
581,43,142.87,4,deep,Midwestern American,blond,**??,endomorph,Yes,M,Yes,Burger,High,great,Missing
582,21,**??,2,high pitched,Southern American,brown,**??,ectomorph,No,F,No,Missing,Medium,Good,1437
583,------->?,------->?,Missing,deep,Italian,brown,No,endomorph,Yes,M,No,Apple Pie,High,great,?
584,18,178.45,4,high pitched,?,blond,No,**??,Yes,M,No,Pizza,9351,9351,**??
585,23,208.16,0,high pitched,Northern Irish,white/gray,**??,mesomorph,No,M,No,Pizza,Low,Bad,901
586,24,203.31,Missing,deep,Canadian,white/gray,No,mesomorph,------->?,M,No,Burger,VeryHigh,5598,1203
587,48,154.28,------->?,deep,Northern Irish,Missing,Yes,ectomorph,------->?,NB,**??,Hot Dogs,High,great,1463
588,24,201.57,2,high pitched,Southern American,brown,No,mesomorph,No,M,No,Hot Dogs,VeryHigh,5037,1381
589,43,154.44,8,high pitched,Boston,brown,No,ectomorph,No,M,Yes,Burger,VeryHigh,5257,Missing
590,21,181.37,2,mid range,Southern American,black,No,?,Yes,**??,No,Pizza,Low,Bad,337
?,23,204.28,2,mid range,Southern American,white/gray,No,endomorph,No,NB,No,Apple Pie,VeryHigh,4777,------->?
592,35,167.62,8,deep,?,brown,Yes,ectomorph,No,NB,Missing,Pizza,7610,7610,1241
593,22,182.94,3,high pitched,Midwestern American,white/gray,Yes,mesomorph,Yes,M,No,------->?,Low,Bad,------->?
**??,50,------->?,8,high pitched,Midwestern American,black,**??,mesomorph,No,NB,Yes,Hot Dogs,7918,7918,1209
595,20,194.54,1,high pitched,Midwestern American,white/gray,No,mesomorph,No,NB,**??,Burger,Low,Bad,**??
596,18,205.84,0,high pitched,Northern Irish,red,Missing,mesomorph,Yes,NB,No,Burger,Low,Bad,Missing
597,24,202.87,0,high pitched,Northern Irish,black,No,ectomorph,No,------->?,No,Burger,8035,8035,**??
598,37,?,8,high pitched,Missing,brown,Yes,ectomorph,Yes,NB,Yes,Burger,VeryHigh,3698,443
599,22,180.89,2,high pitched,Southern American,black,No,mesomorph,Yes,M,No,Hot Dogs,7842,7842,Missing
**??,30,159.04,6,mid range,Northern Irish,brown,No,mesomorph,Yes,M,Yes,Burger,VeryHigh,4353,893
601,19,180.17,2,high pitched,Yorkshire,white/gray,No,ectomorph,No,F,No,Hot Dogs,High,great,Missing
602,26,159.91,------->?,mid range,Northern Irish,blond,Yes,mesomorph,Yes,M,------->?,Burger,VeryHigh,3524,------->?
603,------->?,------->?,------->?,Missing,Southern American,brown,No,mesomorph,Yes,NB,No,Pizza,9479,9479,1301
604,22,------->?,1,high pitched,Boston,white/gray,No,mesomorph,Yes,NB,No,Burger,VeryHigh,7142,477
605,27,146.01,6,mid range,Cockney,?,Yes,mesomorph,Yes,M,**??,Burger,8564,8564,581
606,31,144.23,7,mid range,Southern American,white/gray,Yes,mesomorph,Yes,F,Yes,Missing,Low,Bad,?
607,33,167.58,4,deep,East Coast City Dialects,blond,Yes,mesomorph,Yes,NB,Yes,Pizza,Medium,Good,Missing
608,37,169.97,5,deep,East Coast City Dialects,black,Yes,endomorph,Yes,NB,Yes,Pizza,7861,7861,------->?
?,24,207.67,0,mid range,Midwestern American,brown,Yes,endomorph,No,M,No,Apple Pie,Medium,Good,Missing
610,24,203.64,0,mid range,Missing,------->?,Yes,endomorph,Yes,M,No,Hot Dogs,VeryHigh,6403,267
611,21,174.04,2,high pitched,Southern American,white/gray,No,endomorph,Yes,------->?,No,------->?,7921,7921,Missing
Missing,53,169.98,4,mid range,East Coast City Dialects,brown,Missing,endomorph,Yes,F,------->?,Burger,8921,8921,705
613,34,145.14,8,------->?,Midwestern American,brown,Yes,ectomorph,Missing,M,Yes,Pizza,VeryHigh,5094,**??
614,52,145.81,5,deep,Scottish,brown,Yes,endomorph,No,F,------->?,Burger,VeryHigh,7412,1213
615,39,?,5,**??,Midwestern American,blond,?,mesomorph,No,F,Yes,Burger,VeryHigh,4235,**??
616,42,140.05,5,deep,french,blond,No,mesomorph,Yes,M,Yes,------->?,9378,9378,?
617,52,147.36,5,deep,Midwestern American,brown,Yes,mesomorph,No,F,Yes,**??,9555,9555,1049
618,34,152.18,Missing,**??,Southern American,brown,No,ectomorph,No,F,Yes,Burger,Medium,Good,237
619,28,144.45,8,deep,Northern Irish,blond,Yes,ectomorph,Yes,NB,Yes,Burger,9365,9365,79
620,34,146.95,8,deep,East Coast City Dialects,red,Yes,mesomorph,Yes,Missing,Yes,Hot Dogs,High,great,?
621,20,187.37,3,mid range,Midwestern American,white/gray,Yes,mesomorph,No,M,No,Burger,VeryHigh,7413,1363
622,49,163.4,7,**??,Midwestern American,blond,Yes,mesomorph,Missing,M,Yes,Burger,9700,9700,757
623,52,148.46,8,deep,Southern American,blond,Yes,mesomorph,No,F,Yes,Burger,7794,7794,?
624,28,**??,6,deep,Scottish,red,No,ectomorph,Yes,M,Yes,Pizza,8037,8037,897
625,43,Missing,5,deep,Southern American,blond,?,ectomorph,No,M,?,Hot Dogs,High,great,?
626,26,154.23,8,deep,Midwestern American,blond,Yes,mesomorph,------->?,NB,Yes,Burger,VeryHigh,3979,751
627,38,143.2,6,deep,East Coast City Dialects,white/gray,Yes,Missing,Yes,NB,Yes,Apple Pie,Low,Bad,Missing
628,Missing,144.03,Missing,deep,Southern American,blond,Yes,mesomorph,**??,M,Yes,Pizza,VeryHigh,6880,539
629,43,148.93,8,deep,Northern Irish,blond,Yes,mesomorph,Yes,F,Yes,Burger,VeryHigh,4494,Missing
630,20,176.13,2,deep,Southern American,black,No,ectomorph,Yes,NB,No,?,9616,9616,?
631,22,201.93,3,high pitched,**??,white/gray,No,ectomorph,Yes,F,No,Pizza,VeryHigh,5841,849
632,44,160.33,5,deep,------->?,blond,No,endomorph,Yes,NB,?,Pizza,Low,Bad,------->?
633,21,**??,2,high pitched,Southern American,white/gray,No,endomorph,No,M,No,Hot Dogs,9010,9010,------->?
634,37,159.73,8,------->?,Scottish,red,No,ectomorph,?,M,Yes,Burger,9897,9897,Missing
635,36,167.39,4,deep,Southern American,brown,Yes,endomorph,?,M,Yes,Burger,VeryHigh,4138,------->?
636,40,166.55,6,deep,East Coast City Dialects,brown,No,ectomorph,No,F,Yes,?,VeryHigh,6350,1011
637,49,143.39,8,deep,Midwestern American,blond,No,mesomorph,Yes,NB,Yes,Burger,VeryHigh,5839,463
638,35,144.61,8,deep,Scottish,brown,No,ectomorph,No,F,Yes,Pizza,8309,8309,**??
639,44,160.68,6,deep,Northern Irish,blond,Yes,mesomorph,Yes,F,Yes,**??,Low,Bad,------->?
640,18,181.84,3,high pitched,**??,white/gray,No,------->?,Missing,NB,?,Pizza,VeryHigh,3806,Missing
641,24,201.05,1,high pitched,Scottish,white/gray,Yes,ectomorph,No,F,No,Burger,High,great,1305
642,52,161.71,6,deep,Welsh,black,No,mesomorph,No,NB,------->?,Apple Pie,7791,7791,?
643,19,184.11,3,high pitched,------->?,white/gray,Yes,mesomorph,Yes,NB,No,Hot Dogs,8441,8441,**??
644,31,169.42,8,high pitched,Missing,black,Yes,mesomorph,Yes,M,Yes,Burger,7554,7554,Missing
645,23,175.76,0,deep,**??,white/gray,**??,------->?,Yes,F,No,**??,VeryHigh,5590,1091
646,19,172.33,0,deep,Canadian,black,No,ectomorph,No,NB,No,Burger,8089,8089,585
647,26,148.02,4,deep,french,black,Yes,mesomorph,No,M,Yes,Pizza,7928,7928,1125
?,34,Missing,7,mid range,french,brown,Missing,Missing,Yes,F,**??,Burger,8857,8857,?
649,20,183.88,1,mid range,Northern Irish,?,No,ectomorph,No,M,**??,Pizza,8354,8354,------->?
650,18,202.43,2,mid range,Midwestern American,black,No,mesomorph,Yes,M,No,**??,Medium,Good,1313
651,18,184.91,1,deep,Yorkshire,brown,------->?,ectomorph,No,M,No,Hot Dogs,High,great,1129
652,39,158.14,6,deep,Southern American,blond,Yes,mesomorph,No,NB,Yes,Burger,9409,9409,1427
653,21,181.41,0,high pitched,Cockney,blond,No,ectomorph,No,NB,No,Hot Dogs,VeryHigh,5069,315
654,Missing,168.99,4,deep,Northern Irish,blond,Yes,**??,Yes,F,Yes,Burger,Low,Bad,Missing
655,23,191.21,4,high pitched,Yorkshire,black,**??,ectomorph,No,F,No,Burger,High,great,329
656,39,141.08,5,deep,Boston,blond,Yes,endomorph,Yes,NB,Yes,Pizza,8455,8455,?
657,29,144.7,6,mid range,Midwestern American,blond,**??,mesomorph,No,NB,Yes,Burger,VeryHigh,6398,1135
------->?,39,------->?,7,deep,East Coast City Dialects,brown,Missing,mesomorph,------->?,M,Yes,Burger,VeryHigh,4819,Missing
659,19,187.27,3,deep,Midwestern American,white/gray,Missing,mesomorph,Yes,NB,No,Pizza,High,great,783
660,20,189.97,------->?,high pitched,Northern Irish,black,No,ectomorph,No,M,No,Burger,VeryHigh,7095,877
**??,33,151.53,8,deep,East Coast City Dialects,Missing,Yes,?,No,NB,Yes,Apple Pie,VeryHigh,6082,------->?
662,Missing,177.54,4,high pitched,Southern American,black,Yes,ectomorph,No,------->?,No,Pizza,Medium,Good,647
663,20,188.71,3,?,Cockney,black,?,endomorph,Yes,?,No,Hot Dogs,Medium,Good,495
664,36,148.56,4,**??,Boston,blond,Yes,endomorph,No,M,Yes,Hot Dogs,VeryHigh,3941,47
665,25,146.46,7,deep,Scottish,brown,**??,mesomorph,No,NB,Yes,**??,VeryHigh,3790,1407
666,45,155.67,4,deep,Scottish,blond,No,ectomorph,------->?,M,Yes,Burger,VeryHigh,4071,503
------->?,**??,158.33,8,deep,Northern Irish,brown,Yes,mesomorph,No,M,Yes,Burger,High,great,------->?
668,50,164.99,7,mid range,Southern American,blond,Yes,ectomorph,Yes,?,Yes,Burger,Medium,Good,1265
669,?,154.84,8,deep,Midwestern American,Missing,Yes,ectomorph,Yes,NB,Yes,?,High,great,------->?
670,33,161.97,7,deep,Welsh,blond,Yes,endomorph,Yes,------->?,Yes,Burger,High,great,643
**??,19,201.55,2,mid range,Southern American,black,?,endomorph,No,M,No,Hot Dogs,VeryHigh,3831,273
672,20,193.77,4,mid range,french,dyed,**??,ectomorph,No,NB,No,Hot Dogs,VeryHigh,6948,Missing
673,20,182.62,1,high pitched,Yorkshire,Missing,No,ectomorph,No,------->?,No,Hot Dogs,VeryHigh,6970,815
674,21,**??,2,deep,East Coast City Dialects,white/gray,No,mesomorph,Yes,F,No,Hot Dogs,High,great,1031
675,18,193.1,0,high pitched,Midwestern American,white/gray,Missing,ectomorph,Yes,M,No,Burger,VeryHigh,7054,1099
676,45,160.53,5,deep,?,blond,Yes,mesomorph,------->?,NB,Yes,Burger,8581,8581,447
677,32,165.48,5,deep,Northern Irish,brown,No,endomorph,Yes,F,Yes,Hot Dogs,Low,Bad,------->?
678,19,194.59,4,high pitched,french,white/gray,No,Missing,No,NB,No,Hot Dogs,VeryHigh,5272,?
679,38,150.52,4,deep,Northern Irish,blond,------->?,ectomorph,Yes,NB,Yes,Burger,VeryHigh,5518,67
680,25,169.78,6,deep,Scottish,blond,Yes,endomorph,No,F,Yes,Pizza,9554,9554,------->?
Missing,51,152.57,8,deep,Midwestern American,brown,Missing,ectomorph,Yes,NB,Yes,Hot Dogs,8394,8394,**??
682,46,165.7,5,Missing,Yorkshire,black,No,mesomorph,Yes,M,Yes,Burger,High,great,923
683,Missing,144.95,6,deep,East Coast City Dialects,brown,Yes,ectomorph,No,NB,Yes,Hot Dogs,VeryHigh,5935,983
684,24,178.03,1,Missing,Midwestern American,black,------->?,mesomorph,Yes,F,No,Hot Dogs,VeryHigh,3692,Missing
Missing,33,159.73,7,deep,------->?,white/gray,Yes,mesomorph,Yes,M,Yes,Burger,9908,9908,Missing
686,Missing,163.98,Missing,mid range,Northern Irish,brown,Yes,mesomorph,Yes,M,Yes,Pizza,Low,Bad,319
687,20,183.57,2,high pitched,Southern American,dyed,Yes,endomorph,No,M,No,Burger,VeryHigh,5166,------->?
688,31,143.22,5,mid range,Midwestern American,brown,Yes,?,Yes,F,Yes,------->?,Low,Bad,------->?
689,29,151.69,Missing,deep,East Coast City Dialects,blond,Yes,mesomorph,------->?,?,Yes,Apple Pie,VeryHigh,5754,265
690,27,150.54,6,deep,East Coast City Dialects,blond,Yes,mesomorph,Yes,F,Yes,Burger,High,great,973
691,48,154.69,5,mid range,Midwestern American,blond,Yes,ectomorph,Yes,M,Yes,Pizza,Medium,Good,1119
692,31,162.58,------->?,deep,Cockney,brown,No,ectomorph,No,M,Yes,Hot Dogs,9406,9406,1341
693,36,151.57,6,deep,East Coast City Dialects,white/gray,Missing,ectomorph,No,M,Yes,Pizza,VeryHigh,6206,**??
694,19,180.13,0,?,Midwestern American,black,Yes,mesomorph,No,NB,No,Hot Dogs,VeryHigh,5587,?
695,22,Missing,1,deep,Canadian,black,No,ectomorph,No,NB,No,Hot Dogs,VeryHigh,7317,------->?
696,18,201.58,4,mid range,Midwestern American,white/gray,No,mesomorph,------->?,M,No,Burger,VeryHigh,7332,------->?
697,19,178.88,2,deep,Northern Irish,Missing,Yes,ectomorph,Yes,M,No,Pizza,High,great,187
698,22,204.51,4,high pitched,Midwestern American,brown,No,endomorph,No,M,No,Pizza,9349,9349,**??
699,22,------->?,2,high pitched,Welsh,white/gray,No,endomorph,?,F,------->?,Pizza,8869,8869,1255
700,50,140.9,8,deep,Southern American,**??,Yes,ectomorph,No,F,Yes,Pizza,VeryHigh,3620,1097
701,56,154.59,5,deep,Southern American,black,------->?,mesomorph,No,NB,Yes,Pizza,VeryHigh,5071,**??
702,Missing,155.56,6,high pitched,?,black,?,mesomorph,Yes,M,Yes,Burger,VeryHigh,5135,Missing
Missing,18,208.8,3,**??,Southern American,black,No,------->?,No,F,No,Hot Dogs,8977,8977,1055
704,24,171.76,3,high pitched,french,black,No,mesomorph,Yes,NB,No,Burger,Medium,Good,667
705,46,159.77,5,deep,Midwestern American,white/gray,Yes,**??,No,------->?,Yes,Burger,7579,7579,?
706,21,------->?,1,mid range,Cockney,white/gray,No,endomorph,Yes,M,No,Pizza,VeryHigh,7290,------->?
707,45,158.62,5,deep,Southern American,blond,No,mesomorph,No,NB,Yes,Pizza,Medium,Good,1107
Missing,19,190.71,1,high pitched,Northern Irish,**??,No,mesomorph,No,F,No,Burger,8227,8227,?
709,30,150.13,5,deep,Midwestern American,blond,No,mesomorph,No,**??,Yes,**??,VeryHigh,7459,281
710,45,141.83,5,?,Northern Irish,brown,Yes,mesomorph,Yes,F,?,Hot Dogs,VeryHigh,7483,737
711,18,203.47,1,high pitched,Southern American,?,Yes,ectomorph,Yes,M,No,Hot Dogs,Low,Bad,**??
712,42,154.26,7,deep,Scottish,brown,Yes,------->?,No,M,Yes,Pizza,9945,9945,?
713,30,158.85,4,mid range,East Coast City Dialects,brown,Yes,mesomorph,No,M,**??,Apple Pie,VeryHigh,4100,621
714,?,150.28,5,deep,East Coast City Dialects,brown,No,**??,Yes,F,Yes,Burger,High,great,Missing
715,19,192.27,0,high pitched,Southern American,brown,Yes,endomorph,------->?,NB,No,Hot Dogs,8437,8437,997
716,53,156.96,4,deep,Southern American,blond,Yes,mesomorph,No,NB,Yes,Burger,VeryHigh,3913,Missing
Missing,23,175.86,**??,?,french,white/gray,Yes,ectomorph,No,NB,No,Hot Dogs,Medium,Good,**??
718,21,182.19,Missing,high pitched,Midwestern American,black,No,?,No,F,No,Pizza,Low,Bad,1133
719,19,180.63,1,mid range,Northern Irish,black,Yes,ectomorph,No,NB,?,Hot Dogs,Medium,Good,Missing
720,46,155.82,5,mid range,Midwestern American,brown,No,mesomorph,Yes,M,Yes,Missing,8195,8195,?
721,54,161.35,5,mid range,Southern American,brown,Yes,ectomorph,Yes,F,Yes,Pizza,High,great,**??
722,31,147.8,6,deep,Northern Irish,black,Yes,endomorph,Missing,F,Yes,Burger,Medium,Good,------->?
723,54,168.98,8,deep,Southern American,blond,No,Missing,No,F,Yes,Burger,8159,8159,------->?
724,53,168.95,**??,deep,?,brown,No,ectomorph,No,NB,Yes,Apple Pie,Medium,Good,365
725,55,147.65,?,deep,Southern American,brown,Yes,mesomorph,No,M,------->?,Burger,9416,9416,Missing
Missing,38,144.25,8,mid range,East Coast City Dialects,white/gray,No,------->?,No,M,Yes,Burger,VeryHigh,5998,Missing
------->?,37,157.32,------->?,deep,Southern American,?,------->?,endomorph,No,NB,Yes,Burger,VeryHigh,5465,Missing
728,51,**??,4,mid range,Canadian,red,No,mesomorph,?,F,------->?,Missing,VeryHigh,4757,?
729,48,Missing,6,?,french,**??,Yes,ectomorph,Yes,M,**??,Burger,9923,9923,487
730,45,151.47,7,deep,Midwestern American,blond,Yes,ectomorph,Yes,NB,Yes,Burger,7776,7776,?
731,21,204.88,4,high pitched,Southern American,red,Yes,ectomorph,Yes,M,No,Pizza,Medium,Good,473
732,39,**??,8,high pitched,Missing,blond,No,mesomorph,No,M,Yes,Burger,VeryHigh,6383,869
733,38,152.39,6,deep,Northern Irish,------->?,No,endomorph,No,F,Yes,**??,VeryHigh,5913,------->?
734,51,166.13,7,deep,Northern Irish,white/gray,No,endomorph,No,------->?,Yes,Apple Pie,VeryHigh,5492,1061
735,22,196.49,4,high pitched,Cockney,**??,Yes,endomorph,No,NB,No,Pizza,Low,Bad,1421
736,41,166.42,8,deep,Canadian,blond,?,ectomorph,Yes,NB,------->?,Burger,VeryHigh,7303,523
737,32,158.55,5,deep,Welsh,brown,No,mesomorph,No,NB,Yes,**??,VeryHigh,4591,1231
738,41,158.5,4,deep,East Coast City Dialects,blond,Yes,endomorph,Yes,**??,Yes,Burger,Medium,Good,**??
739,32,156.74,7,deep,Midwestern American,blond,No,ectomorph,No,F,Yes,Burger,Medium,Good,843
740,21,171.06,2,mid range,Southern American,black,No,endomorph,Yes,NB,No,Burger,VeryHigh,5575,317
------->?,40,142.32,5,deep,?,blond,Yes,mesomorph,No,M,Yes,Burger,Low,Bad,61
------->?,20,201.66,2,?,Southern American,red,No,endomorph,Yes,NB,No,Burger,9753,9753,147
743,48,165.45,5,mid range,Scottish,brown,Yes,endomorph,No,M,Yes,Burger,9066,9066,------->?
744,28,145.22,8,mid range,------->?,white/gray,Yes,endomorph,------->?,M,Yes,Burger,VeryHigh,5870,Missing
------->?,18,170.79,1,high pitched,Northern Irish,white/gray,No,endomorph,No,M,No,Burger,VeryHigh,4115,------->?
746,Missing,148.01,4,deep,Northern Irish,brown,No,endomorph,Yes,M,Yes,?,Medium,Good,1247
------->?,24,206.69,3,mid range,Midwestern American,white/gray,No,mesomorph,No,M,No,Burger,7607,7607,**??
748,51,151.42,5,high pitched,Midwestern American,black,No,mesomorph,No,F,Yes,Burger,VeryHigh,6301,Missing
749,35,159.49,7,deep,------->?,blond,Yes,endomorph,Yes,M,Yes,Burger,VeryHigh,5391,**??
750,19,176.99,2,high pitched,Cockney,brown,Yes,mesomorph,Yes,F,No,Pizza,VeryHigh,4157,739
751,54,143.5,4,deep,Northern Irish,blond,Yes,ectomorph,Yes,M,Yes,Burger,VeryHigh,7094,381
752,51,145.18,6,deep,East Coast City Dialects,dyed,Yes,mesomorph,Yes,NB,Yes,Pizza,VeryHigh,7409,961
753,55,169.93,4,deep,Northern Irish,brown,Yes,mesomorph,Yes,NB,Yes,**??,8220,8220,?
754,29,162.31,**??,mid range,Welsh,brown,Yes,mesomorph,Yes,NB,Yes,Hot Dogs,VeryHigh,6124,?
Missing,18,203.8,0,deep,Midwestern American,blond,No,endomorph,Yes,NB,No,Hot Dogs,High,great,------->?
756,42,154.3,8,deep,Midwestern American,brown,Yes,------->?,Yes,F,Yes,Pizza,VeryHigh,3608,?
757,34,143.56,7,deep,Northern Irish,blond,Yes,mesomorph,Yes,M,Yes,Apple Pie,Low,Bad,------->?
